t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
0.01,0.01,0,0,-0.0503289,-0.0147841,0.00999088,0,-1.10463e-05
0.02,0.02,0,0,0.0206667,-0.0128338,0.0199826,-1.10372e-07,-2.65587e-05
0.03,0.03,0,0,0.0342739,-0.00103957,0.0299767,-3.758e-07,-0.000103035
0.04,0.04,0,0,-0.0208016,0.0335827,0.0399656,-1.405e-06,8.84594e-05
0.05,0.05,0,0,0.0384058,-0.0347631,0.049966,-5.20371e-07,0.000124887
0.06,0.06,0,0,0.046156,0.00199972,0.059953,7.26871e-07,8.7987e-05
0.07,0.07,0,0,0.0427844,0.0356588,0.0699472,1.60623e-06,7.04365e-05
0.08,0.08,0,0,0.0938245,0.0025777,0.0799443,2.3104e-06,0.000236883
0.09,0.09,0,0,0.0886939,-0.00825903,0.0899333,4.6766e-06,0.00018854
0.1,0.1,0,0,0.120953,0.00520806,0.120934,0.00520343,0.000772292
0.11,0.11,0,0,0.102628,-0.02309,0.130952,0.00521117,0.000891204
0.12,0.12,0,0,0.0586673,0.0320844,0.140954,0.00522008,0.000958668
0.13,0.13,0,0,0.0885785,-0.00842419,0.15095,0.00522967,0.00099641
0.14,0.14,0,0,0.14893,-0.0308435,0.160964,0.00523964,0.00105989
0.15,0.15,0,0,0.171149,0.0108277,0.170979,0.00525026,0.00112631
0.16,0.16,0,0,0.147557,-0.0419622,0.180993,0.00526154,0.00103727
0.17,0.17,0,0,0.162254,0.0138287,0.191004,0.00527192,0.000958358
0.18,0.18,0,0,0.238353,-0.00460009,0.201015,0.00528152,0.000839643
0.19,0.19,0,0,0.127252,0.0379122,0.211022,0.00528992,0.000788072
0.2,0.2,0,0,0.17725,0.0137225,0.180345,0.0131279,0.0666475
0.21,0.21,0,0,0.253005,0.0319738,0.186931,0.0135674,0.0666291
0.22,0.22,0,0,0.21357,-0.0206758,0.193537,0.0140083,0.0667595
0.23,0.23,0,0,0.266542,-0.0116837,0.200146,0.0144501,0.0667639
0.24,0.24,0,0,0.227506,0.0257251,0.206774,0.0148933,0.066779
0.25,0.25,0,0,0.26284,-0.074091,0.213396,0.0153362,0.0668946
0.26,0.26,0,0,0.31617,0.0118912,0.220009,0.0157792,0.0669693
0.27,0.27,0,0,0.271885,0.0150479,0.226622,0.0162227,0.0670135
0.28,0.28,0,0,0.283261,0.00317291,0.233243,0.0166671,0.0669136
0.29,0.29,0,0,0.234506,0.0350589,0.239871,0.0171112,0.0670302
0.3,0.3,0,0,0.299854,-0.0114997,0.29216,-0.00568748,-0.0799801
0.31,0.31,0,0,0.322544,-0.0565958,0.301124,-0.00640598,-0.0798801
0.32,0.32,0,0,0.319657,0.0124006,0.310093,-0.00712399,-0.0800256
0.33,0.33,0,0,0.355504,0.0118302,0.319075,-0.0078443,-0.0801548
0.34,0.34,0,0,0.286502,-0.00729403,0.328071,-0.00856693,-0.0801115
0.35,0.35,0,0,0.413567,0.0463961,0.337066,-0.00928903,-0.0800732
0.36,0.36,0,0,0.319758,-0.0486508,0.346058,-0.0100106,-0.0802446
