t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
0.01,0.01,0,0,-0.0503289,-0.0147841,0.00499544,7.54952e-15,-1.10463e-05
0.02,0.02,0,0,0.0206667,-0.0128338,0.00999083,-5.51805e-08,-2.65587e-05
0.03,0.03,0,0,0.0342739,-0.00103957,0.0149868,-1.87868e-07,-0.000103035
0.04,0.04,0,0,-0.0208016,0.0335827,0.0199798,-7.02316e-07,8.84594e-05
0.05,0.05,0,0,0.0384058,-0.0347631,0.024978,-2.60176e-07,0.000124887
0.06,0.06,0,0,0.046156,0.00199972,0.029969,3.63133e-07,8.7987e-05
0.07,0.07,0,0,0.0427844,0.0356588,0.0349631,8.02549e-07,7.04365e-05
0.08,0.08,0,0,0.0938245,0.0025777,0.0399582,1.15439e-06,0.000236882
0.09,0.09,0,0,0.0886939,-0.00825903,0.0449487,2.33654e-06,0.00018854
0.1,0.1,0,0,0.120953,0.00520806,0.12089,0.00520343,0.000772292
0.11,0.11,0,0,0.102628,-0.02309,0.125968,0.00520735,0.000891204
0.12,0.12,0,0,0.0586673,0.0320844,0.131038,0.00521187,0.000958668
0.13,0.13,0,0,0.0885785,-0.00842419,0.136104,0.00521673,0.00099641
0.14,0.14,0,0,0.14893,-0.0308435,0.141179,0.00522178,0.00105989
0.15,0.15,0,0,0.171149,0.0108277,0.146254,0.00522716,0.00112631
0.16,0.16,0,0,0.147557,-0.0419622,0.151328,0.00523288,0.00103727
0.17,0.17,0,0,0.162254,0.0138287,0.156399,0.00523814,0.000958358
0.18,0.18,0,0,0.238353,-0.00460009,0.161471,0.005243,0.000839643
0.19,0.19,0,0,0.127252,0.0379122,0.16654,0.00524725,0.000788072
0.2,0.2,0,0,0.17725,0.0137225,0.176866,0.0131292,0.0664653
0.21,0.21,0,0,0.253005,0.0319738,0.186197,0.0137502,0.0664469
0.22,0.22,0,0,0.21357,-0.0206758,0.195545,0.0143723,0.0665773
0.23,0.23,0,0,0.266542,-0.0116837,0.204896,0.0149958,0.0665817
0.24,0.24,0,0,0.227506,0.0257251,0.214263,0.0156204,0.0665967
0.25,0.25,0,0,0.26284,-0.074091,0.223624,0.0162447,0.0667124
0.26,0.26,0,0,0.31617,0.0118912,0.232976,0.0168695,0.0667871
0.27,0.27,0,0,0.271885,0.0150479,0.242327,0.017495,0.0668313
0.28,0.28,0,0,0.283261,0.00317291,0.251686,0.0181214,0.0667314
0.29,0.29,0,0,0.234506,0.0350589,0.26105,0.0187472,0.066848
0.3,0.3,0,0,0.299854,-0.0114997,0.295828,-0.00728771,-0.079244
0.31,0.31,0,0,0.322544,-0.0565958,0.307139,-0.00818707,-0.079144
0.32,0.32,0,0,0.319657,0.0124006,0.318454,-0.00908562,-0.0792895
0.33,0.33,0,0,0.355504,0.0118302,0.32978,-0.00998672,-0.0794187
0.34,0.34,0,0,0.286502,-0.00729403,0.34112,-0.0108903,-0.0793754
0.35,0.35,0,0,0.413567,0.0463961,0.352457,-0.0117933,-0.0793371
0.36,0.36,0,0,0.319758,-0.0486508,0.363792,-0.0126956,-0.0795085
0.37,0.37,0,0,0.396485,-0.0134791,0.375118,-0.0135992,-0.0796063
0.38,0.38,0,0,0.333457,-0.0153148,0.386425,-0.0145023,-0.0795553
0.39,0.39,0,0,0.343183,0.0600104,0.397726,-0.0154044,-0.0795637
0.4,0.4,0,0,0.410633,-0.0564094,0.410288,-0.0488908,-0.195606
0.41,0.41,0,0,0.398764,-0.0387365,0.421751,-0.0511629,-0.195616
0.42,0.42,0,0,0.394274,0.0252002,0.433199,-0.0534323,-0.19581
0.43,0.43,0,0,0.435516,0.0173369,0.444631,-0.0557009,-0.195839
0.44,0.44,0,0,0.442597,-0.0177865,0.456079,-0.0579727,-0.19588
0.45,0.45,0,0,0.433522,0.0329039,0.467522,-0.0602442,-0.195936
0.46,0.46,0,0,0.555611,0.00252491,0.478961,-0.0625157,-0.195879
